keywords,paragraph
post-2012|gcf|funding|napa,"The US, CANADA, AUSTRALIA and NEW ZEALAND emphasized the importance of recognizing progress made under the AWG-LCA, including the various new institutional arrangements established. Switzerland, for the EIG, warned against attempts to revisit everything, raise artificially high expectations and focus on things that divide us. JAPAN lamented lack of recognition by developing countries of progress on finance, including fast- track finance and the establishment of the Standing Committee. Several developed countries emphasized that discussions on issues, including adaptation and finance, will continue under other processes after the termination of the AWG-LCA. The EU drew attention, _inter alia_, to: the Adaptation Committee and the Standing Committee; and work on <span class=""highlight"">long-term finance</span> and national <span class=""highlight"">adaptation plans</span>. BARBADOS emphasized that there is no process outside the AWG-LCA to consider the <span class=""highlight"">post-2012</span> financing gap and that the Green Climate <span class=""highlight"">Fund</span> remains an empty shell."
additionality|bali action plan|market mechanisms|market approaches,"The EU highlighted specific tasks in the AWG-LCA's mandate, saying that no decision on <span class=""highlight"">market approaches</span> would mean no process to consider the issue after Doha. BRAZIL suggested that <span class=""highlight"">market mechanisms</span> be discussed under the ADP, while the EU raised concerns over this idea. VENEZUELA stressed that the text on paragraph 1(b)(v) of the <span class=""highlight"">Bali Action Plan</span> (market and non- <span class=""highlight"">market approaches</span>) had been rejected by many developing countries during informal consultations, and objected to presenting the text as the basis for further negotiations. BOLIVIA agreed, emphasizing concerns over <span class=""highlight"">market mechanisms</span>, including double counting and non-<span class=""highlight"">additionality</span> that could increase <span class=""highlight"">emissions</span>."
bali action plan,"COLOMBIA urged: identifying under which bodies the <span class=""highlight"">Bali Action Plan</span> can continue to be implemented; giving closure to what can be closed; and giving comfort to those who feel some issues are not reflected in the text. BRAZIL highlighted the need to wrap up everything under the AWG- LCA's mandate and stressed that solving all these issues is a precondition for meaningful work under the ADP. SOUTH AFRICA and others emphasized that the closing text of the AWG-LCA must encompass all issues under the AWG-LCA's mandate, and that some issues require more elaboration. MEXICO identified the need to take into consideration outcomes from COP 16 and 17, and consider what else needs to be done. She identified the need to close the AWG-LCA knowing that implementation of its outcomes will continue for many years."
shared vision,"Chair Tayeb proposed that the spin-off group on <span class=""highlight"">shared vision</span> focus on text on a process to: explore the numbers for a global goal and timeframe for peaking, together with their implications; and consider <span class=""highlight"">equitable access</span> to sustainable <span class=""highlight"">development</span>. On the Review, Chair Tayeb suggested that the group focus on the scope of the Review, coupled with considerations for expert input. On developed and developing country mitigation, Chair Tayeb urged parties to focus on establishing work programmes and their potential elements. After discussion, Chair Tayeb said informal informals would take place on the Review, <span class=""highlight"">shared vision</span>, developed country mitigation and developing country mitigation."
flexibility|surplus assigned amount units|second commitment period|assigned amount units|flexibility mechanisms,"Facilitator Sandea de Wet (South Africa) reported on the spin-off group on numbers/text, noting that parties had exchanged views on how to raise the ambition level. She noted modest progress on cleaning text, observing that the options on the eligibility to participate in the <span class=""highlight"">flexibility</span> mechanisms during the <span class=""highlight"">second commitment period</span> require further clarification, and progress is also needed on carry-over of <span class=""highlight"">surplus Assigned Amount Units (AAUs).</span>"
second commitment period,"AWG-KP Vice-Chair Jukka Uosukainen (Finland) reported good progress in his informal consultations on matters relating to the <span class=""highlight"">second commitment period</span>. He noted that some paragraphs in the draft CMP decision on Protocol amendments remain in brackets for practical and tactical reasons, waiting for progress in other groups rather than representing real, unsolved issues. He explained that issues related to the provisional application of the <span class=""highlight"">second commitment period</span> (paragraphs 7-11) in the revised text remain to be solved. Vice-Chair Uosukainen identified three options for provisional application: opting out; opting in; and an implementing decision, saying these options are not necessarily mutually exclusive."
qelros|second commitment period|length of the commitment period,"AWG-KP Chair Diouf then presented her assessment of how the AWG-KP can progress to full agreement. She explained that parties' views on the length of the <span class=""highlight"">second commitment period</span>, <span class=""highlight"">QELROs</span> and ambition are still divergent. On the Protocol's legal continuity from 1 January 2013, she said options are fewer and clearer, and asked whether parties see possibility of convergence. On the Protocol's operational continuity for Annex I parties from 1 January 2013, she reported that proposals are on the table but identified the need for more time to discuss them."
cdm|funding|adaptation fund|second commitment period|flexibility mechanisms|flexibility,"With regards to the eligibility of Annex I parties not participating in the <span class=""highlight"">second commitment period</span> to access the Protocol's <span class=""highlight"">flexibility</span> mechanisms, she observed divergent views with no compromise option in sight. Identifying this as a political issue, she reminded parties to refine a proposal for ministers. The EU emphasized the <span class=""highlight"">CDM</span> as an important <span class=""highlight"">funding</span> source for the Adaptation <span class=""highlight"">Fund</span>. The Marshall Islands, for AOSIS, supported by INDIA, called for ensuring that a share of proceeds from the <span class=""highlight"">flexibility</span> mechanisms is used for adaptation."
assigned amount units|surplus assigned amount units,"Noting proposals on the table, Chair Diouf also emphasized that the carry-over of surplus <span class=""highlight"">AAUs</span> is a complex, sensitive and political issue. Expressing hope for a solution, she invited parties to work in a transparent manner before forwarding the issue to the ministers."
second commitment period|assigned amount units|surplus assigned amount units,"The EU underscored that parties have been working on the issues of carry-over of <span class=""highlight"">AAUs</span> and increasing ambition, calling for the fruits of this work to be tabled before forwarding the text to ministers. Saint Lucia, for AOSIS, and several developing countries, stressed the need to achieve a higher level of ambition. She lamented that some parties have dropped to the lower end of their pledges despite their clear mandate to move up to the top end of their pledges, and noted their conditionalities have been met with the creation of the ADP process. The PHILIPPINES urged parties to walk fast, far and forward. AUSTRALIA identified ambition as a broader issue that must be addressed beyond the Protocol's <span class=""highlight"">second commitment period</span>. SWITZERLAND identified addressing the carry-over of surplus <span class=""highlight"">AAUs</span> as a way to raise ambition."
water|energy,"Vuk JeremiÄ‡, President of the UN General Assembly, stated that addressing climate change must become a core national interest of every UN member state. He outlined plans to schedule a high-level thematic debate on climate change, green <span class=""highlight"">energy</span> and <span class=""highlight"">water</span> sustainability during the resumed 67th session of the UN General Assembly."
second commitment period|kyoto protocol|binding commitments,"UN Secretary-General Ban Ki-moon underscored that there should be no illusion that this is a crisis. He outlined five deliverables from Doha: adopting a <span class=""highlight"">ratifiable</span> <span class=""highlight"">second commitment period</span> under the <span class=""highlight"">Kyoto Protocol</span>; making progress on long-term <span class=""highlight"">climate finance</span>; working to fully equip institutions supporting <span class=""highlight"">mitigation and adaptation</span> by developing countries; keeping negotiations on a <span class=""highlight"">legally-binding instrument</span> on track; and showing determination to act on the gap between the current mitigation pledges and what is required to achieve the 2Â°C target."
long-term cooperation|bali action plan|second commitment period|kyoto protocol|technology transfer|technology,"H.H. Sabah IV Al-Ahmad Al-Jaber Al-Sabah, Emir of Kuwait, noted that the sizeable high-level participation in the conference reflects recognition by the international community of climate change as a pressing issue. He called for decisions to pave the way for <span class=""highlight"">long-term cooperation</span> through: ensuring the effective implementation of the <span class=""highlight"">Bali Action Plan</span> and all its elements; adopting a <span class=""highlight"">second commitment period</span> under the <span class=""highlight"">Kyoto Protocol</span>; not imposing <span class=""highlight"">new commitments</span> on developing countries; and backing voluntary actions by developing countries with finance and <span class=""highlight"">technology</span> transfer from developed countries."
greenhouse gas emissions|emission|gas|energy,"H.H. Sheikh Hamad Bin Khalifa Al-Thani, Emir of Qatar, called for: epitomizing the concept of interdependence; reaching a practical and effective agreement with flexible solutions; and finding an equilibrium between the needs of countries and communities for <span class=""highlight"">energy</span> on the one hand, and the requirements to reduce <span class=""highlight"">greenhouse gas emissions on the other hand.</span>"
fossil fuels|fuel|redd|hydrofluorocarbons|hfcs,"NORWAY encouraged: continuing positive dynamics; sharing experiences; understanding conditionalities better; bringing more parties on board; considering the mitigation potential of <span class=""highlight"">REDD</span>+, <span class=""highlight"">hydrofluorocarbons</span> and black carbon; and removing harmful <span class=""highlight"">fossil fuel subsidies. NEW ZEALAND stated that ambition is being hampered by an environment of finger pointing - you should, you must, you ought to.</span>"
bali action plan,"Several parties said the co-chairs' text could be strengthened and noted the loss of detail concerning future work and themes, calling for references to issues including: international cooperative initiatives; raising pledges; Annex I countries' leadership obligation; adaptation, means of implementation and broad elements of the <span class=""highlight"">Bali Action Plan</span>. Many parties supported requesting submissions from parties on various themes. However, while not ruling out thematic discussions, some parties expressed discomfort with a sector approach to raising ambition."
reducing emissions|1990 levels|emission|qelros|second commitment period,"NUMBERS/TEXT:   In the morning AWG-KP spin-off group on numbers/text, a coalition of developing countries introduced a proposal for Annex I parties to take on <span class=""highlight"">QELROs</span> at CMP 8 consistent with the top end of their pledged ranges and to further increase ambition during the Protocol's <span class=""highlight"">second commitment period</span>. The proposal requires Annex I parties to ensure that <span class=""highlight"">QELROs</span> adopted for the <span class=""highlight"">second commitment period</span> lead to overall <span class=""highlight"">emission</span> reductions of at least 33% below <span class=""highlight"">1990 levels</span> by 2017. It also establishes a process for each party to revisit its QELRO by 2014 at the latest, in line with an aggregate Annex I <span class=""highlight"">emission</span> reductions of more than 45% below <span class=""highlight"">1990 levels</span> by 2020. Parties exchanged views on the proposal, with a number of them expressing support for using it as a basis for work, and some also supported considering the other two recent proposals. Many developed countries expressed concern with the years and numbers included in the proposal."
cer|cdm|cdm projects|cers|flexibility mechanisms|flexibility,"Parties also discussed the issue of the share of proceeds from the <span class=""highlight"">flexibility</span> mechanisms. Developing countries presented a submission that proposes raising the share of proceeds to 5% of the <span class=""highlight"">Certified Emission Reductions</span> issued for <span class=""highlight"">CDM</span> projects registered after 31 December 2014. Many parties requested further clarifications and some expressed agreement to work on this basis."
maritime|transport|maritime transport|bali action plan,"The need for clarity on the big picture was also picked up elsewhere. CAN emphasized, during its afternoon press conference, that closing the AWG-LCA is not just a matter of switching off the lights and leaving as all the negotiating tracks are linked and fundamental issues under the <span class=""highlight"">Bali Action Plan</span> must be resolved. CAN identified finance as one such fundamental issue, calling for a credible trajectory towards 2020 with innovative sources of financing from a levy on international air and <span class=""highlight"">maritime</span> <span class=""highlight"">transport</span>, as well as a financial transaction tax."
napa,"SBI Chair Chruszczow reported agreement on a draft COP decision on national <span class=""highlight"">adaptation plans</span>. He explained that parties have been unable to agree on the composition, modalities and procedures for the team of technical experts under international consultations and analysis, and recommended that the item be moved to the next SBI session."
second commitment period|flexibility mechanisms|flexibility|emissions trading,"Bard Solhjell (Norway) provided an update on progress following ministerial outreach that he had conducted with Luis Machado Figueiredo (Brazil), on: access to the <span class=""highlight"">flexibility</span> mechanisms by Annex I parties that will not be taking on commitments in the <span class=""highlight"">second commitment period</span>; and extending the share of proceeds to <span class=""highlight"">joint implementation</span> and <span class=""highlight"">emissions</span> trading. He noted that, after consultations, a good picture was emerging on different opinions, although there were no final solutions."
funding,"Regarding the Green Climate <span class=""highlight"">Fund</span> (<span class=""highlight"">GCF</span>) report and initial guidance, delegates were informed that draft text takes note of the <span class=""highlight"">GCF</span> report and progress towards operationalizing the <span class=""highlight"">Fund</span>, and that informal informals are convening to finalize the text."
flexibility|surplus assigned amount units|assigned amount units|flexibility mechanisms,"Parties considered text on Protocol amendments, eligibility to participate in the <span class=""highlight"">flexibility</span> mechanisms, carry-over of <span class=""highlight"">surplus AAUs, and the share of proceeds. Parties had before them new proposals on some of these issues, as well as text consolidating previous proposals. Parties agreed on which proposals should be forwarded to the AWG-KP Chair for inclusion in her revised text, and the spin-off group concluded its work.</span>"
shared vision,"The PHILIPPINES, BANGLADESH and others emphasized the need for consultations on finance to be open, inclusive and transparent. Swaziland, for the AFRICAN GROUP, called for a decision on finance, scaling up mitigation and support for adaptation. SWITZERLAND said financing is a core and ongoing issue that cannot be concluded in Doha, and that a COP decision is needed to define how to continue working on it. The EU expressed disappointment over the <span class=""highlight"">lack of progress</span> on, among other issues, <span class=""highlight"">shared vision</span> and various approaches. She called for consensus text with clear options for ministers."
cdm|non-market approaches|redd|market approaches|ldcs,"The Gambia, for the <span class=""highlight"">LDCs</span>, urged for a balanced text that would be the basis for further negotiations. BOLIVIA expressed concern over the lack of balance in the texts, underscoring the need for further reflecting <span class=""highlight"">non-market approaches in text on various approaches and REDD+. Highlighting the relevance of interlinkages, VENEZUELA suggested considering various approaches together with other interlinked issues under the AWG-KP and CMP, such as CDM continuation. Egypt, for the ARAB GROUP, supported by CHINA, encouraged the AWG-LCA Chair to prepare a revised text. INDIA and ARGENTINA noted that text on response measures did not adequately reflect parties' submissions.</span>"
redd,"Colombia, for the ASSOCIATION OF INDEPENDENT LATIN AMERICAN AND CARIBBEAN STATES (AILAC), called for an open Indaba on finance, saying that ministerial bilateral meetings will not suffice. Noting <span class=""highlight"">lack of progress</span>, she supported discussing adaptation and <span class=""highlight"">REDD</span>+ issues at a higher level."
redd,"Many parties queried the working methodology and status of the texts presented, with many calling for predictability concerning the issues that will be addressed, and meeting times. AWG-LCA Chair Tayeb clarified that negotiations on the AWG-LCA agreed outcome will continue in a single open-ended group and that in those areas where progress was still within reach, such as developed and developing country mitigation and <span class=""highlight"">REDD</span>+, break-out groups will meet again."
business,"As negotiators were going about their <span class=""highlight"">business</span> in an attempt to achieve a successful outcome for Friday, high-level discussions also continued both during informal ministerial roundtables and behind-the-scenes consultations. The COP President's informal stocktaking plenary in the evening provided an overview of informal ministerial outreach on key issues. UN Secretary-General Ban Ki-moon also reportedly met with many of the key players and, in his ministerial roundtable speech, announced plans to convene a meeting of world leaders in 2014 to help build political momentum for 2015 when parties are scheduled to conclude negotiations under the ADP. Noting that this kind of high-level engagement helped achieve what many considered successful outcomes in Cancun and Durban, one experienced negotiator opined: I really hope our ministers can step in and once again save the day. Some in the corridors commented on the evident urgency of the task, given the news of deaths and destruction caused by <span class=""highlight"">typhoon</span> Bopha raging in the Philippines."
second commitment period,"Algeria, for the G-77/CHINA, highlighted three main pillars of a Doha outcome: an ambitious <span class=""highlight"">second commitment period</span> that would allow for a higher level of ambition from all Annex I parties; finance under the AWG- LCA; and a balanced treatment of all elements under the ADP."
bali action plan|fast-start financing|second commitment period|assigned amount units|surplus assigned amount units,"Swaziland, for the AFRICAN GROUP, called for text addressing the full set of issues in the <span class=""highlight"">Bali Action Plan</span>, and for a <span class=""highlight"">second commitment period</span> that enables scaling up ambition before 2014. Noting that parties may not achieve all they hoped for, Switzerland, for the EIG, called for: a solution to the carry-over of surplus <span class=""highlight"">AAUs</span> that ensures the environmental integrity of the <span class=""highlight"">second commitment period</span>; building on lessons learned from <span class=""highlight"">fast-start finance</span>; and developing a path for finance for 2020."
second commitment period,"Supporting further ministerial engagement, Australia, for the UMBRELLA GROUP, urged agreement on access to <span class=""highlight"">market mechanisms</span> during the <span class=""highlight"">second commitment period</span>, and called for concluding discussions under the AWG- LCA, acknowledging achievements and moving towards implementation."
ldcs|flexibility|binding commitments|second commitment period|flexibility mechanisms,"The EU underscored the need to speed up the conclusion of the AWG-LCA and supported the COP President's call for the AWG-LCA Chair to finish the group's work on Thurday night. The Gambia, for the <span class=""highlight"">LDCs</span>, underlined the importance of a <span class=""highlight"">second commitment period</span> that ensures environmental integrity, takes account of the rules-based regime and limits access to the <span class=""highlight"">flexibility</span> mechanisms to Annex I parties with commitments. Chile, for AILAC, expressed his confidence that parties would deliver the milestone of a <span class=""highlight"">legally-binding agreement</span> by 2015."
ldcs|qelros|second commitment period|flexibility mechanisms|kyoto protocol|flexibility,"Algeria, for the G-77/CHINA, highlighted outstanding issues, including operationalization of an ambitious <span class=""highlight"">second commitment period</span> under the <span class=""highlight"">Kyoto Protocol</span> beginning on 1 January 2013, and commitment by Annex I parties to ambitious <span class=""highlight"">QELROs</span>. With the Gambia, for the <span class=""highlight"">LDCs</span>, he called for a decision to restrict access to the <span class=""highlight"">flexibility</span> mechanisms to those Annex I parties that take on commitments under the <span class=""highlight"">second commitment period</span>. The <span class=""highlight"">LDCs</span> further supported an ambitious five-year <span class=""highlight"">second commitment period</span> with provisional application."
qelros|flexibility mechanisms|second commitment period|assigned amount units|surplus assigned amount units|flexibility,"Swaziland, for the AFRICAN GROUP, expressed hope that ministers will be able to take the necessary political decisions. He said the <span class=""highlight"">second commitment period</span> should: exclude the carry-over of surplus <span class=""highlight"">AAUs</span>; enable only parties with <span class=""highlight"">second commitment period</span> <span class=""highlight"">QELROs</span> to participate in the <span class=""highlight"">flexibility</span> mechanisms; and include a mechanism for increasing mitigation ambition within two years of the start of the commitment period."
qelros|second commitment period|assigned amount units|surplus assigned amount units,"The EU underscored that the text before parties shows that the AWG-KP will contribute to the balanced outcome Doha is expected to deliver. He identified the need to secure uninterrupted access to <span class=""highlight"">market mechanisms</span> for all parties who will take on commitments during the <span class=""highlight"">second commitment period</span>, noting that the current text addresses this concern. On the possibility of Annex B parties strengthening their <span class=""highlight"">QELROs</span> during the <span class=""highlight"">second commitment period</span>, the EU indicated willingness to explore the ambition mechanism proposed by the G-77/China. He recognized the importance of the issue of carry-over of surplus <span class=""highlight"">AAUs</span>, but noted that there will be minimal demand for such <span class=""highlight"">AAUs</span> between 2013 and 2020."
second commitment period,"Australia, for several UMBRELLA GROUP members, noted convergence on many issues and highlighted key elements that require agreement, including an eight-year <span class=""highlight"">second commitment period</span> and expanded participation in <span class=""highlight"">market mechanisms</span>. He underlined that the AWG-KP is part of a much broader, shared endeavor."
cdm|qelros|second commitment period|assigned amount units|surplus assigned amount units,"Switzerland, for the EIG, said adopting the Protocol amendments in Doha will ensure a seamless transition to the <span class=""highlight"">second commitment period</span>. He stressed the need to: ensure environmental integrity of the <span class=""highlight"">second commitment period</span> through the limitation of carry-over of surplus <span class=""highlight"">AAUs</span> from the first commitment period; and allow those Annex I parties that will not take on <span class=""highlight"">QELROs</span> to participate in the <span class=""highlight"">CDM</span>. He expressed <span class=""highlight"">solidarity</span> with the people of the Philippines, as did BOLIVIA, who stated that the current situation in that country is a testimony of what can be expected to take place more frequently. BOLIVIA cautioned against empty promises and described the low level of ambition as a death sentence to some people. He opposed the idea of voluntary commitments, saying that since developed countries have not managed to raise the level of ambition in seven years, why should they be believed now."
flexibility|second commitment period|flexibility mechanisms,"Saint Lucia, for AOSIS, called for, _inter alia_: a five- year commitment period; Annex I parties moving to the top end of their pledges and beyond, and dropping their conditionalities; provisional application of the Protocol amendments to be adopted in Doha; and limiting participation in the <span class=""highlight"">flexibility</span> mechanisms to Annex I parties with commitments under the <span class=""highlight"">second commitment period</span>. She noted that the G-77/China's proposal on the ambition mechanism is missing from the AWG-KP text, underlining her view that this proposal remains on the table, and stressed that the mechanism must bear fruit by 2014 at the latest."
flexibility|flexibility mechanisms,"AWG-KP Chair Diouf proposed forwarding the report on the AWG-KP's work to the CMP. AOSIS requested bracketing parts of the text, including sections containing: the amended Protocol Annex B with parties' mitigation commitments; text on eligibility to participate in the <span class=""highlight"">flexibility</span> mechanisms; and text on the fulfillment of the AWG-KP's mandate and conclusion of its work. Parties agreed to forward the outcome of the work of the AWG-KP (FCCC/KP/AWG/2012/L.3), as orally amended by AOSIS, to the CMP for consideration and finalization."
kyoto protocol,"The 2013 Warsaw Climate Change Conference opens today in Warsaw, Poland, and will continue until 22 November. The Conference includes the 19th session of the Conference of the Parties (COP 19) to the UN Framework Convention on Climate Change (UNFCCC) and the 9th session of the Conference of the Parties serving as the Meeting of the Parties to the <span class=""highlight"">Kyoto Protocol</span> (CMP 9). Three subsidiary bodies will also convene: the Subsidiary Body for Implementation (SBI), the Subsidiary Body for Scientific and Technological Advice (SBSTA) and the _Ad Hoc _Working Group on the <span class=""highlight"">Durban Platform</span> for Enhanced Action (ADP)."
gas,"The international political response to climate change began with the adoption of the UNFCCC in 1992, which sets out a framework for action aimed at stabilizing atmospheric concentrations of greenhouse <span class=""highlight"">gases</span> (GHGs) to avoid Ã¢Â€Âœ<span class=""highlight"">dangerous anthropogenic interference</span> with the climate system.Ã¢Â€Â The Convention, which entered into force on 21 March 1994, now has 195 parties."
gasâ­by-gas|1990 levels|reducing emissions|emission|economies in transition|kyoto protocol,"In December 1997, delegates to the COP 3 in Kyoto, Japan, agreed to a Protocol to the UNFCCC that committed industrialized countries and <span class=""highlight"">countries in transition</span> to a market economy to achieve <span class=""highlight"">emission</span> reduction targets. These countries, known as Annex I parties under the UNFCCC, agreed to reduce their overall <span class=""highlight"">emissions</span> of <span class=""highlight"">six GHGs</span> by an average of 5% below <span class=""highlight"">1990 levels</span> in 2008-2012 (first commitment period), with specific targets varying from country to country. The <span class=""highlight"">Kyoto Protocol</span> entered into force on 16 February 2005 and now has 192 parties."
future commitments|kyoto protocol,"LONG-TERM NEGOTIATIONS IN 2005-2009:   Convening in Montreal, Canada, in 2005, CMP 1 decided to establish the _Ad Hoc _Working Group on Annex I PartiesÃ¢Â€Â™ <span class=""highlight"">Further Commitments</span> under the <span class=""highlight"">Kyoto Protocol</span> (AWG-KP) in accordance with Protocol Article 3.9, which mandated consideration of Annex I partiesÃ¢Â€Â™ <span class=""highlight"">further commitments</span> at least seven years before the end of the first commitment period.    COP 11 created a process to consider <span class=""highlight"">long-term cooperation</span> under the Convention through a series of four workshops known as Ã¢Â€Âœthe Convention Dialogue.Ã¢Â€Â"
bali action plan|cooperative action|shared vision,"In December 2007, COP 13 and CMP 3 in Bali, Indonesia, resulted in agreement on the <span class=""highlight"">Bali Roadmap</span> on long-term issues. COP 13 adopted the <span class=""highlight"">Bali Action Plan</span> and established the _Ad Hoc_ Working Group on Long-term <span class=""highlight"">Cooperative Action</span> under the Convention (AWG-LCA) with a mandate to focus on mitigation, adaptation, finance, <span class=""highlight"">technology</span> and a <span class=""highlight"">shared vision</span> for long-term <span class=""highlight"">cooperative action</span>. Negotiations on Annex I partiesÃ¢Â€Â™ <span class=""highlight"">further commitments</span> continued under the AWG-KP. The deadline for concluding the two-track negotiations was in Copenhagen in 2009."
mitigation actions|namas|redd|mrv|forest degradation|reducing emissions|emission|sustainable forest management|forest|carbon stocks,"CANCUN:   The UN Climate Change Conference in Cancun, Mexico, took place in December 2010, where parties finalized the Cancun Agreements. Under the Convention track, Decision 1/CP.16 recognized the need for deep cuts in global <span class=""highlight"">emissions</span> in order to limit the global average temperature rise to 2Ã‚Â°C above pre-industrial levels. Parties agreed to consider strengthening the global long-term goal during a Review by 2015, including in relation to a proposed 1.5Ã‚Â°C target. They took note of <span class=""highlight"">emission</span> reduction targets and nationally appropriate <span class=""highlight"">mitigation actions</span> (<span class=""highlight"">NAMAs</span>) communicated by developed and developing countries, respectively. Decision 1/CP.16 also addressed other aspects of mitigation, such as: measuring, <span class=""highlight"">reporting and verification</span> (<span class=""highlight"">MRV</span>); and <span class=""highlight"">reducing emissions from deforestation and forest degradation in developing countries; and the role of conservation, sustainable management of forests, and enhancement of forest carbon stocks in developing countries (REDD+).</span>"
gcf|fast-start financing|financial mechanism|funding|operating entity,"The Cancun Agreements also established several new institutions and processes, including the Cancun Adaptation Framework, Adaptation Committee, and the <span class=""highlight"">Technology</span> Mechanism, which includes the <span class=""highlight"">Technology</span> Executive Committee (TEC) and the Climate <span class=""highlight"">Technology</span> Centre and Network (CTCN). The <span class=""highlight"">Green Climate Fund (GCF) was created and designated as an operating entity of the ConventionÃ¢Â€Â™s financial mechanism governed by a 24-member board. Parties agreed to set up a Transitional Committee tasked with the FundÃ¢Â€Â™s design and a Standing Committee to assist the COP with respect to the financial mechanism. Parties also recognized the commitment by developed countries to provide US$30 billion of fast-start finance in 2010-2012, and to jointly mobilize US$100 billion per year by 2020.</span>"
ipcc third/fourth assessment report|intergovernmental panel on climate change|land-use change|land use|forestry|lulucf,"Under the Protocol track, the CMP urged Annex I parties to raise the level of ambition towards achieving aggregate <span class=""highlight"">emission</span> reductions consistent with the range identified in the <span class=""highlight"">Fourth Assessment Report</span> (<span class=""highlight"">AR4</span>) of the <span class=""highlight"">Intergovernmental Panel on Climate Change</span> (<span class=""highlight"">IPCC</span>), and adopted Decision 2/CMP.6 on <span class=""highlight"">land use</span>, <span class=""highlight"">land-use</span> change and <span class=""highlight"">forestry</span> (<span class=""highlight"">LULUCF</span>). The mandates of the two AWGs were extended for another year."
cooperative action|gcf|second commitment period|kyoto protocol,"DURBAN:   The UN Climate Change Conference in Durban, South Africa, took place from 28 November to 11 December 2011. The Durban outcomes covered a wide range of topics, notably the establishment of a <span class=""highlight"">second commitment period</span> under the <span class=""highlight"">Kyoto Protocol</span>, a decision on long-term <span class=""highlight"">cooperative action</span> under the Convention and agreement on the operationalization of the <span class=""highlight"">GCF</span>. Parties also agreed to launch the new ADP with a mandate Ã¢Â€Âœto develop a protocol, another legal instrument or an agreed outcome with legal force under the Convention applicable to all Parties.Ã¢Â€Â The ADP is scheduled to complete these negotiations by 2015. The new instrument should enter into effect from 2020 onwards. In addition, the ADP was also mandated to explore actions to close the pre-2020 <span class=""highlight"">ambition gap</span> in relation to the 2Ã‚Â°C target."
vulnerable|market mechanisms|bali action plan|redd|mrv|adverse effects/impacts|napa|flexibility mechanisms|kyoto protocol|flexibility|second commitment period,"DOHA:   The UN Climate Change Conference in Doha, Qatar, took place from 26 November to 8 December 2012. The conference resulted in a package of decisions, referred to as the Ã¢Â€ÂœDoha Climate Gateway.Ã¢Â€Â These include amendments to the <span class=""highlight"">Kyoto Protocol</span> to establish its <span class=""highlight"">second commitment period</span> and agreement to terminate the AWG-KPÃ¢Â€Â™s work in Doha. The parties also agreed to terminate the AWG-LCA and negotiations under the <span class=""highlight"">Bali Action Plan</span>. A number of issues requiring further consideration were transferred to the SBI and SBSTA, such as: the 2013-15 review of the global goal; developed and developing country mitigation; the <span class=""highlight"">Kyoto Protocol</span>Ã¢Â€Â™s <span class=""highlight"">flexibility</span> mechanisms; national <span class=""highlight"">adaptation plans</span> (NAPs); <span class=""highlight"">MRV</span>; market and non-<span class=""highlight"">market mechanisms</span>; and <span class=""highlight"">REDD</span>+. Key elements of the Doha outcome also included agreement to consider <span class=""highlight"">loss and damage</span>, Ã¢Â€Âœsuch as an institutional mechanism to address <span class=""highlight"">loss and damage</span> in developing countries that are particularly <span class=""highlight"">vulnerable</span> to the <span class=""highlight"">adverse effects</span> of climate change.Ã¢Â€Â"
redd,"BONN:   The Bonn Climate Change Conference took place from 3-14 June 2013. SBI 38 was characterized by an agenda dispute concerning a proposal by the Russian Federation, Belarus and Ukraine to introduce a new item on legal and procedural issues related to decision-making under the COP and CMP. As no solution to the dispute was found, the SBI was unable to launch substantive work. SBSTA 38 achieved what many saw as good progress, _inter alia_, on <span class=""highlight"">REDD</span>+ and several methodological issues. The resumed ADP 2 was structured around workshops and roundtables. No agreement was reached on establishing one or more contact groups to move part of the work to a more formal setting. Many, however, felt that switching to a negotiating mode will be important to ensure that the ADP makes progress in future sessions."
technology,"SIXTH MEETING OF THE <span class=""highlight"">TECHNOLOGY</span> EXECUTIVE COMMITTEE (TEC 6):   This meeting took place from 26-28 June 2013, in Bonn, Germany. Participants heard updates on the results of the first CTCN Advisory Board meeting and from the UN Environment Programme (UNEP) and the Secretariat regarding ongoing work and support for activities relating to <span class=""highlight"">technology</span> needs assessments. They addressed nascent and possible future TEC collaborations with other relevant institutional arrangements, and discussed two draft <span class=""highlight"">technology</span> briefs."
private sector,"LTF WRAP-UP EVENT:   This event, which took place in Incheon, Republic of Korea, from 10-12 September 2013, consisted of three thematic sessions: pathways for mobilizing scaled-up <span class=""highlight"">climate finance</span>; enabling environments and policy frameworks for effective deployment of <span class=""highlight"">climate finance</span>; and enabling environments and policy frameworks for mobilizing scaled-up finance. Acknowledging progress made, many representatives stressed that further work is required on: <span class=""highlight"">climate finance</span> definitions; predictability of financing; and the role of the <span class=""highlight"">private sector</span>."
intergovernmental panel on climate change|spm,"12TH SESSION OF THE WORKING GROUP (WG) I AND 36THÃ‚Â&nbsp; SESSION OF <span class=""highlight"">IPCC</span>:   At its meeting, held from 23-26 September 2013 in Stockholm, Sweden, <span class=""highlight"">IPCC</span> WG I finalized its contribution to the Fifth Assessment Report (AR5) titled Ã¢Â€ÂœClimate Change 2013: The Physical Science Basis.Ã¢Â€Â The Panel then met to approve the WGI <span class=""highlight"">Summary for Policymakers</span> and accepted the underlying report, including the Technical Summary and annexes."
